date,TMAX,TMIN,PRCP,SNOW,AWND,TEMP_AVG,RAIN_FLAG,HOT_DAY,COLD_DAY,WEEKDAY,IS_WEEKEND,trips,total_time,avg_time,member_percent,casual_percent,ebike_percent,regular_percent
2023-04-26,15.6,7.8,0.0,0,11,11.7,0,0,0,2,0,107935,1340298.01754981,12.4176404090406,86.377912632603,13.622087367397,44.4823273266318,55.5176726733682
2023-04-27,13.9,9.4,0.0,0,14,11.65,0,0,0,3,0,102173,1245037.90856689,12.1855862954685,86.0041302496746,13.9958697503254,45.6001096180008,54.3998903819992
2023-04-28,13.3,8.3,8.4,0,30,10.8,1,0,0,4,0,85135,1023922.83379928,12.0270492018474,84.6937217360663,15.3062782639338,47.2320432254654,52.7679567745346
2023-04-29,11.7,8.3,62.5,0,38,10.0,1,0,0,5,1,17446,180952.982499973,10.3721760002277,87.974320761206,12.025679238794,60.4493866788949,39.5506133211051
2023-04-30,15.6,10.0,58.9,0,31,12.8,1,0,0,6,1,24665,276842.650433305,11.2241090789907,84.7597810662883,15.2402189337117,54.0279748631664,45.9720251368336
2023-05-01,16.1,9.4,2.3,0,31,12.75,1,0,0,0,0,100770,1304796.08266664,12.9482592305908,85.1850749230922,14.8149250769078,45.7140021831894,54.2859978168106
2023-05-02,13.3,6.7,6.4,0,20,10.0,1,0,0,1,0,89124,1059478.64598311,11.8876918224398,88.014451775055,11.985548224945,46.2243615636641,53.7756384363359
2023-05-03,13.9,8.3,0.0,0,14,11.1,0,0,0,2,0,100983,1208745.83826663,11.9697952949173,87.472148777517,12.527851222483,45.3818959626868,54.6181040373132
2023-05-04,12.8,8.9,1.3,0,17,10.85,1,0,0,3,0,91394,1077488.36608342,11.7894869037729,87.447753681861,12.552246318139,48.2132306278312,51.7867693721688
2023-05-05,18.9,8.9,0.0,0,9,13.9,0,0,0,4,0,111041,1484139.67918273,13.3656908635795,82.8486775155123,17.1513224844877,48.0065921596527,51.9934078403473
2023-05-06,22.8,8.9,0.0,0,13,15.85,0,0,0,5,1,122073,2149682.36014925,17.6098101967611,71.5219581725689,28.4780418274311,39.6565989203182,60.3434010796818
2023-05-07,25.6,12.2,0.5,0,13,18.9,1,0,0,6,1,112268,2036513.3104339,18.1397487301273,70.3459578864859,29.6540421135141,36.2694623579292,63.7305376420708
2023-05-08,25.0,14.4,0.0,0,21,19.7,0,0,0,0,0,114074,1603213.73455011,14.0541555003779,83.1591773760892,16.8408226239108,40.4605782211547,59.5394217788453
2023-05-09,21.7,12.2,0.0,0,13,16.95,0,0,0,1,0,114690,1493002.51641662,13.01772182768,85.7119190862325,14.2880809137675,39.7645827883861,60.2354172116139
2023-05-10,22.8,10.0,0.0,0,9,16.4,0,0,0,2,0,122267,1643127.87430035,13.4388500110443,84.4994970024618,15.5005029975382,37.8409546320757,62.1590453679243
2023-05-11,26.7,13.9,0.0,0,17,20.3,0,0,0,3,0,127278,1776645.80303346,13.9587815885969,83.0559876805104,16.9440123194896,39.6313581294489,60.3686418705511
2023-05-12,30.6,18.3,0.0,0,13,24.450000000000003,0,1,0,4,0,127722,1862525.7313668,14.5826539779115,80.0300652980692,19.9699347019308,39.3745791641221,60.6254208358779
2023-05-13,27.8,18.9,0.0,0,13,23.35,0,0,0,5,1,120265,2031454.45983231,16.8914851355948,72.5838772710265,27.4161227289735,36.5609279507754,63.4390720492246
2023-05-14,23.3,15.0,0.0,0,28,19.15,0,0,0,6,1,106250,1865898.69440046,17.56139947671,72.3661176470588,27.6338823529412,38.704,61.296
